# z   photoionization_HI   photoheating_HI   photoionization_HeI   photoheating_HeI   photoionization_HeII   photoheating_HeII 
4.894999999999999574e+00 4.393189627575500316e-13 1.780309762028057492e-12 2.528022094523846106e-13 1.708704505809916645e-12 1.879818407300609464e-17 7.287906771095015574e-16
5.184000000000000163e+00 4.106688909027481270e-13 1.670719745104711643e-12 2.366164937410383896e-13 1.605653126750809269e-12 8.829511625722032482e-18 3.661342099970914469e-16
5.488000000000000433e+00 3.587370688706387371e-13 1.478758028709289632e-12 2.131699572461499125e-13 1.468742594128239788e-12 3.320946813508199436e-18 1.560238705122004215e-16
5.807000000000000384e+00 2.918407266993611943e-13 1.230160187760418094e-12 1.831573717896207604e-13 1.299784428992059334e-12 1.203744328629095743e-18 6.252961022703221967e-17
6.141000000000000014e+00 2.291173284144502162e-13 9.906664969942462397e-13 1.535350102314093020e-13 1.127369894253619718e-12 4.550845145018084073e-19 2.696072793791060739e-17
6.491999999999999993e+00 1.739552265808826239e-13 7.720739253410494391e-13 1.250730468362971290e-13 9.537145716036721334e-13 1.785625541187520663e-19 1.280587288595578242e-17
6.858999999999999986e+00 1.283267492021473542e-13 5.839621242669953770e-13 9.884993148384529562e-14 7.839022805709075637e-13 7.230157299419847061e-20 6.743073053664390124e-18
7.246000000000000441e+00 9.242065782473597739e-14 4.303823318406989576e-13 7.585744612936007167e-14 6.249901852707310359e-13 3.010060513847699788e-20 3.880357423992276992e-18
7.650000000000000355e+00 6.525758368448291093e-14 3.102573706054991257e-13 5.666298398720149628e-14 4.834930611054927817e-13 1.296145568141641322e-20 2.393753287932136681e-18
8.074999999999999289e+00 4.534762179429154644e-14 2.195409420874618654e-13 4.133201316566988678e-14 3.636936519925610917e-13 5.858643594196754522e-21 1.547873547034637298e-18
8.521000000000000796e+00 3.110557718431265582e-14 1.529081932000829366e-13 2.952524752285111878e-14 2.666302797440555519e-13 2.836091076212918309e-21 1.030398300522223054e-18
8.989000000000000767e+00 2.112806337083053228e-14 1.051498976450166361e-13 2.072715399038085577e-14 1.911605004019620181e-13 1.491092417343541311e-21 6.973473224598980325e-19
9.478999999999999204e+00 1.424036975116951701e-14 7.156542584102966676e-14 1.434607120126906007e-14 1.345033113057532965e-13 8.497267490185129881e-22 4.759654832482439141e-19
9.993999999999999773e+00 9.543281030775510761e-15 4.832527767789660558e-14 9.821894376694548896e-15 9.325243369225705322e-14 5.191320640470676950e-22 3.262118077668042420e-19
1.052999999999999936e+01 6.369937118785416158e-15 3.245910534674750110e-14 6.676412708894555269e-15 6.401209029530087782e-14 3.388523245764606352e-22 2.238342522726463029e-19
1.109999999999999964e+01 4.246189158824000706e-15 2.178410533892110545e-14 4.537033499286362157e-15 4.384781352440654528e-14 2.207231587793580150e-22 1.528609501829796459e-19
1.168999999999999950e+01 2.906456066609218085e-15 1.519074046911880166e-14 3.247058146588384341e-15 3.168939812012334916e-14 1.491811530868552680e-22 1.062632114008837428e-19
1.232000000000000028e+01 1.725438574871084893e-15 9.209785724898496570e-15 2.025893539666866035e-15 1.999184940767286204e-14 1.032115724284054410e-22 7.523700701426150671e-20
1.297000000000000064e+01 1.012884790380868285e-15 5.509348405238751680e-15 1.242380321250590883e-15 1.240072227931359838e-14 7.168229038279289982e-23 5.314994299071947405e-20
1.366000000000000014e+01 5.895586969945538395e-16 3.268117987209712114e-15 7.544027560152615086e-16 7.631971712097827007e-15 4.995081227753810696e-23 3.730325160659076075e-20
1.438000000000000078e+01 3.400787828977380659e-16 1.922623634525925171e-15 4.540195646674106307e-16 4.672689342807930598e-15 3.490386642287736088e-23 2.576319661539304402e-20
1.513000000000000078e+01 1.941084436720597013e-16 1.116057620615519045e-15 2.684144905154982051e-16 2.804182964031104865e-15 2.024651804704284259e-23 1.540176094307215472e-20
